Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

12:35:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:35:49 AM     all     28.49      0.00     12.37      0.00      0.00     59.14
12:35:51 AM     all     45.64      0.00     11.79      0.00      0.00     42.56
12:35:53 AM     all     23.16      0.00     11.58      0.00      0.00     65.26
12:35:55 AM     all     23.47      0.00     12.24      0.00      0.00     64.29
12:35:57 AM     all     25.51      0.00     11.22      0.51      0.00     62.76
12:35:59 AM     all     25.38      0.00     10.15      0.00      0.00     64.47
12:36:01 AM     all     27.04      0.00     11.73      0.00      0.00     61.22
12:36:03 AM     all     24.48      0.00     11.46      0.00      0.00     64.06
12:36:05 AM     all     23.44      0.00     12.50      0.00      0.00     64.06
12:36:07 AM     all     24.49      0.00     12.24      0.00      0.00     63.27
12:36:09 AM     all     24.48      0.00     10.42      0.00      0.00     65.10
12:36:11 AM     all     23.59      0.00      9.23      0.00      0.00     67.18
12:36:13 AM     all     19.89      0.00     10.75      0.00      0.00     69.35
12:36:15 AM     all     23.47      0.00     10.71      0.00      0.00     65.82
12:36:17 AM     all     26.02      0.00     10.71      0.00      0.00     63.27
12:36:19 AM     all     21.35      0.00     11.46      0.00      0.00     67.19
12:36:21 AM     all     27.60      0.00      8.33      0.00      0.00     64.06
12:36:23 AM     all     24.87      0.00      9.33      0.52      0.00     65.28
12:36:25 AM     all     26.29      0.00     10.82      0.00      0.00     62.89
12:36:27 AM     all     23.32      0.00     13.99      0.00      0.00     62.69
12:36:29 AM     all     27.18      0.00     11.28      0.00      0.00     61.54
12:36:31 AM     all     27.13      0.00      8.51      0.00      0.00     64.36
12:36:33 AM     all     26.80      0.00     12.37      0.00      0.00     60.82
12:36:35 AM     all     25.25      0.00      9.09      0.00      0.00     65.66
12:36:37 AM     all     26.84      0.00     13.16      0.00      0.00     60.00
12:36:39 AM     all     25.64      0.00     11.28      0.00      0.00     63.08
12:36:41 AM     all     25.40      0.00     11.64      0.00      0.00     62.96
12:36:43 AM     all     22.46      0.00     10.16      0.00      0.00     67.38
12:36:45 AM     all     23.28      0.00     13.76      0.00      0.00     62.96
12:36:47 AM     all     24.24      0.00     12.63      0.51      0.00     62.63
12:36:49 AM     all     25.26      0.00     10.31      0.00      0.00     64.43
12:36:51 AM     all     28.19      0.00     10.11      0.00      0.00     61.70
12:36:53 AM     all     28.87      0.00     11.34      0.00      0.00     59.79
12:36:55 AM     all     27.60      0.00      9.38      0.00      0.00     63.02
12:36:57 AM     all     26.87      0.00     13.93      0.00      0.00     59.20
12:36:59 AM     all     22.34      0.00     10.11      0.00      0.00     67.55
12:37:01 AM     all     25.81      0.00     13.44      0.00      0.00     60.75
12:37:03 AM     all     22.34      0.00      8.51      0.00      0.00     69.15
12:37:05 AM     all     44.39      0.00     13.27      0.00      0.00     42.35
12:37:07 AM     all     25.63      0.00     11.06      0.00      0.00     63.32
12:37:09 AM     all     23.56      0.00     10.99      0.00      0.00     65.45
12:37:11 AM     all     22.80      0.00     10.36      0.00      0.00     66.84
12:37:13 AM     all     29.44      0.00     12.18      0.00      0.00     58.38
12:37:15 AM     all     24.87      0.00     10.36      0.00      0.00     64.77
12:37:17 AM     all     24.37      0.00     10.15      0.00      0.00     65.48
12:37:19 AM     all     22.63      0.00      8.42      0.00      0.00     68.95
12:37:21 AM     all     24.23      0.00     12.37      0.00      0.00     63.40
12:37:23 AM     all     26.42      0.00     12.44      0.00      0.00     61.14
12:37:25 AM     all     26.18      0.00     10.99      0.00      0.00     62.83
12:37:27 AM     all     29.90      0.00      9.28      0.00      0.00     60.82
12:37:29 AM     all     22.51      0.00     10.99      0.00      0.00     66.49
12:37:31 AM     all     26.29      0.00     13.92      0.00      0.00     59.79
12:37:33 AM     all     24.74      0.00      9.28      0.00      0.00     65.98
12:37:35 AM     all     27.92      0.00     11.17      0.00      0.00     60.91
12:37:37 AM     all     22.22      0.00     11.11      0.53      0.00     66.14
12:37:39 AM     all     24.08      0.00     12.04      0.00      0.00     63.87
12:37:41 AM     all     23.32      0.00     11.92      0.00      0.00     64.77
12:37:43 AM     all     22.40      0.00     12.50      0.00      0.00     65.10
12:37:45 AM     all     23.00      0.00     14.00      0.00      0.00     63.00
12:37:47 AM     all     23.96      0.00     10.42      0.00      0.00     65.62
12:37:49 AM     all     23.96      0.00      9.90      0.00      0.00     66.15
