Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

05:19:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:19:34 PM     all     34.01      0.00     17.26      0.00      0.00     48.73
05:19:36 PM     all     34.57      0.00     13.30      0.00      0.00     52.13
05:19:38 PM     all     31.38      0.00     15.96      0.53      0.00     52.13
05:19:40 PM     all     32.99      0.00     16.49      0.00      0.00     50.52
05:19:42 PM     all     35.75      0.00     17.10      0.00      0.00     47.15
05:19:44 PM     all     39.58      0.00     14.06      0.00      0.00     46.35
05:19:46 PM     all     35.60      0.00     14.14      0.00      0.00     50.26
05:19:48 PM     all     34.02      0.00     17.53      0.00      0.00     48.45
05:19:50 PM     all     35.08      0.00     15.71      0.00      0.00     49.21
05:19:52 PM     all     33.33      0.00     15.66      0.00      0.00     51.01
05:19:54 PM     all     33.85      0.00     14.58      0.00      0.00     51.56
05:19:56 PM     all     32.28      0.00     14.81      0.00      0.00     52.91
05:19:58 PM     all     32.31      0.00     17.95      0.00      0.00     49.74
05:20:00 PM     all     35.45      0.00     13.23      0.00      0.00     51.32
05:20:02 PM     all     34.69      0.00     18.88      0.00      0.00     46.43
05:20:04 PM     all     33.33      0.00     16.41      0.51      0.00     49.74
05:20:06 PM     all     35.90      0.00     12.82      0.00      0.00     51.28
05:20:08 PM     all     35.57      0.00     14.95      0.00      0.00     49.48
05:20:10 PM     all     34.36      0.00     16.41      0.00      0.00     49.23
05:20:12 PM     all     33.85      0.00     14.87      0.00      0.00     51.28
05:20:14 PM     all     32.98      0.00     13.83      0.00      0.00     53.19
05:20:16 PM     all     35.00      0.00     15.00      0.00      0.00     50.00
05:20:18 PM     all     38.00      0.00     11.00      0.00      0.00     51.00
05:20:20 PM     all     34.78      0.00     12.50      0.00      0.00     52.72
05:20:22 PM     all     55.78      0.00     14.07      0.00      0.00     30.15
05:20:24 PM     all     35.23      0.00     17.62      0.00      0.00     47.15
05:20:26 PM     all     32.24      0.00     16.94      0.00      0.00     50.82
05:20:28 PM     all     36.13      0.00     14.14      0.00      0.00     49.74
05:20:30 PM     all     30.60      0.00     15.30      0.00      0.00     54.10
05:20:32 PM     all     39.68      0.00     15.34      0.00      0.00     44.97
05:20:34 PM     all     35.38      0.00     14.36      0.00      0.00     50.26
05:20:36 PM     all     33.85      0.00     15.62      0.00      0.00     50.52
05:20:38 PM     all     33.68      0.00     14.74      0.53      0.00     51.05
05:20:40 PM     all     36.36      0.00     16.16      0.00      0.00     47.47
05:20:42 PM     all     33.50      0.00     17.26      0.00      0.00     49.24
05:20:44 PM     all     34.04      0.00     18.09      0.00      0.00     47.87
05:20:46 PM     all     35.00      0.00     17.50      0.00      0.00     47.50
05:20:48 PM     all     35.29      0.00     13.37      0.00      0.00     51.34
05:20:50 PM     all     33.50      0.00     16.75      0.00      0.00     49.75
05:20:52 PM     all     28.87      0.00     19.07      0.52      0.00     51.55
05:20:54 PM     all     34.90      0.00     13.02      0.00      0.00     52.08
05:20:56 PM     all     32.45      0.00     15.96      0.00      0.00     51.60
05:20:58 PM     all     30.85      0.00     17.55      0.00      0.00     51.60
05:21:00 PM     all     33.52      0.00     10.99      0.00      0.00     55.49
05:21:02 PM     all     33.17      0.00     16.83      0.00      0.00     50.00
05:21:04 PM     all     30.93      0.00     14.95      0.00      0.00     54.12
05:21:06 PM     all     30.69      0.00     15.34      0.00      0.00     53.97
05:21:08 PM     all     33.51      0.00     15.46      0.00      0.00     51.03
05:21:10 PM     all     32.46      0.00     14.66      0.00      0.00     52.88
05:21:12 PM     all     32.11      0.00     14.74      0.00      0.00     53.16
05:21:14 PM     all     35.05      0.00     11.86      0.00      0.00     53.09
05:21:16 PM     all     34.38      0.00     13.54      0.00      0.00     52.08
05:21:18 PM     all     32.65      0.00     15.31      0.00      0.00     52.04
05:21:20 PM     all     34.50      0.00     14.50      0.00      0.00     51.00
05:21:22 PM     all     29.84      0.00     15.71      0.00      0.00     54.45
05:21:24 PM     all     33.51      0.00     14.95      0.00      0.00     51.55
05:21:26 PM     all     33.00      0.00     17.50      0.00      0.00     49.50
05:21:28 PM     all     36.07      0.00      9.84      0.00      0.00     54.10
05:21:30 PM     all     31.96      0.00     14.43      0.00      0.00     53.61
05:21:32 PM     all     31.25      0.00     16.67      0.00      0.00     52.08
05:21:34 PM     all     34.02      0.00     15.98      0.00      0.00     50.00
05:21:36 PM     all     30.48      0.00     13.90      0.00      0.00     55.61
05:21:38 PM     all     33.51      0.00     14.59      0.00      0.00     51.89
05:21:40 PM     all     35.68      0.00     13.07      0.00      0.00     51.26
05:21:42 PM     all     32.67      0.00     15.84      0.00      0.00     51.49
05:21:44 PM     all     30.10      0.00     14.80      0.00      0.00     55.10
05:21:46 PM     all     30.69      0.00     15.84      0.00      0.00     53.47
05:21:48 PM     all     32.14      0.00     11.73      0.51      0.00     55.61
05:21:50 PM     all     29.53      0.00     15.03      0.00      0.00     55.44
05:21:52 PM     all     30.81      0.00     15.66      0.00      0.00     53.54
05:21:54 PM     all     28.50      0.00     16.58      0.00      0.00     54.92
05:21:56 PM     all     28.72      0.00     15.90      0.00      0.00     55.38
05:21:58 PM     all     26.49      0.00     14.05      0.00      0.00     59.46
05:22:00 PM     all     29.32      0.00     15.71      0.00      0.00     54.97
05:22:02 PM     all     33.67      0.00     13.78      0.00      0.00     52.55
05:22:04 PM     all     31.28      0.00     14.36      0.00      0.00     54.36
05:22:06 PM     all     30.05      0.00     12.95      0.00      0.00     56.99
05:22:08 PM     all     33.00      0.00     13.30      0.00      0.00     53.69
05:22:10 PM     all     35.32      0.00     12.94      0.00      0.00     51.74
05:22:12 PM     all     32.83      0.00     13.13      0.00      0.00     54.04
05:22:14 PM     all     27.57      0.00     12.97      0.00      0.00     59.46
05:22:16 PM     all     33.16      0.00     12.76      0.00      0.00     54.08
05:22:18 PM     all     30.93      0.00     14.95      0.52      0.00     53.61
05:22:20 PM     all     32.32      0.00     15.15      0.00      0.00     52.53
05:22:22 PM     all     31.63      0.00     15.82      0.00      0.00     52.55
05:22:24 PM     all     32.83      0.00     13.64      0.00      0.00     53.54
05:22:26 PM     all     30.43      0.00     11.96      0.00      0.00     57.61
05:22:28 PM     all     34.34      0.00     13.64      0.00      0.00     52.02
05:22:30 PM     all     38.19      0.00     12.56      0.00      0.00     49.25
05:22:32 PM     all     36.18      0.00     15.58      0.00      0.00     48.24
05:22:34 PM     all     38.54      0.00     12.50      0.00      0.00     48.96
05:22:36 PM     all     32.99      0.00     12.37      0.00      0.00     54.64
05:22:38 PM     all     33.33      0.00     15.62      0.00      0.00     51.04
05:22:40 PM     all     33.67      0.00     14.07      0.00      0.00     52.26
05:22:42 PM     all     31.16      0.00     16.58      0.00      0.00     52.26
05:22:44 PM     all     33.15      0.00     11.96      0.00      0.00     54.89
05:22:46 PM     all     33.85      0.00     12.82      0.00      0.00     53.33
05:22:48 PM     all     30.26      0.00     15.90      0.00      0.00     53.85
05:22:50 PM     all     29.44      0.00     14.21      0.00      0.00     56.35
05:22:52 PM     all     32.12      0.00     11.92      0.00      0.00     55.96
05:22:54 PM     all     30.93      0.00     14.95      0.00      0.00     54.12
05:22:56 PM     all     32.82      0.00     13.85      0.00      0.00     53.33
05:22:58 PM     all     32.82      0.00     15.90      0.00      0.00     51.28
05:23:00 PM     all     31.79      0.00     16.41      0.51      0.00     51.28
05:23:02 PM     all     33.67      0.00     16.08      0.00      0.00     50.25
05:23:04 PM     all     31.84      0.00     14.93      0.00      0.00     53.23
05:23:06 PM     all     33.51      0.00     15.46      0.00      0.00     51.03
05:23:08 PM     all     32.68      0.00     16.10      0.00      0.00     51.22
05:23:10 PM     all     30.69      0.00     14.81      0.00      0.00     54.50
05:23:12 PM     all     34.01      0.00     15.23      0.00      0.00     50.76
05:23:14 PM     all     29.38      0.00     15.98      0.00      0.00     54.64
05:23:16 PM     all     32.82      0.00     14.87      0.00      0.00     52.31
05:23:18 PM     all     32.80      0.00     13.23      0.00      0.00     53.97
05:23:20 PM     all     30.43      0.00     13.59      0.00      0.00     55.98
05:23:22 PM     all     32.63      0.00     12.63      0.00      0.00     54.74
05:23:24 PM     all     32.29      0.00     15.62      0.00      0.00     52.08
05:23:26 PM     all     27.98      0.00     15.54      0.00      0.00     56.48
05:23:28 PM     all     32.51      0.00     14.78      0.49      0.00     52.22
05:23:30 PM     all     30.50      0.00     18.00      0.00      0.00     51.50
05:23:32 PM     all     29.26      0.00     12.77      0.00      0.00     57.98
05:23:34 PM     all     31.47      0.00     14.72      0.00      0.00     53.81
05:23:36 PM     all     28.35      0.00     14.43      0.00      0.00     57.22
05:23:38 PM     all     31.44      0.00     13.92      0.00      0.00     54.64
05:23:40 PM     all     29.84      0.00     14.66      0.00      0.00     55.50
05:23:42 PM     all     30.00      0.00     14.21      0.00      0.00     55.79
05:23:44 PM     all     27.84      0.00     15.46      0.00      0.00     56.70
05:23:46 PM     all     30.65      0.00     12.56      0.00      0.00     56.78
05:23:48 PM     all     27.13      0.00     16.49      0.00      0.00     56.38
05:23:50 PM     all     32.49      0.00     13.71      0.00      0.00     53.81
05:23:52 PM     all     34.48      0.00     12.81      0.00      0.00     52.71
05:23:54 PM     all     30.00      0.00     14.21      0.00      0.00     55.79
05:23:56 PM     all     28.95      0.00     15.26      0.00      0.00     55.79
05:23:58 PM     all     30.05      0.00     13.47      0.00      0.00     56.48
05:24:00 PM     all     30.73      0.00     12.50      0.00      0.00     56.77
05:24:02 PM     all     32.00      0.00     16.00      0.50      0.00     51.50
05:24:04 PM     all     31.31      0.00     15.66      0.00      0.00     53.03
05:24:06 PM     all     33.17      0.00     14.07      0.00      0.00     52.76
05:24:08 PM     all     31.68      0.00     15.84      0.00      0.00     52.48
05:24:10 PM     all     35.18      0.00     11.06      0.00      0.00     53.77
05:24:12 PM     all     28.65      0.00     13.54      0.00      0.00     57.81
05:24:14 PM     all     27.66      0.00     14.89      0.00      0.00     57.45
05:24:16 PM     all     27.96      0.00     13.98      0.00      0.00     58.06
05:24:18 PM     all     31.41      0.00     13.09      0.00      0.00     55.50
05:24:20 PM     all     30.69      0.00     13.23      0.00      0.00     56.08
