Linux 3.19.0-28-generic (storm6) 	04/14/2016 	_x86_64_	(1 CPU)

02:30:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:30:32 PM     all     65.83      0.00     24.62      0.00      0.00      9.55
02:30:34 PM     all     68.02      0.00     28.43      0.00      0.00      3.55
02:30:36 PM     all     61.50      0.00     27.50      0.00      0.00     11.00
02:30:38 PM     all     66.01      0.00     25.62      0.00      0.00      8.37
02:30:40 PM     all     61.93      0.00     27.41      0.00      0.00     10.66
02:30:42 PM     all     63.05      0.00     27.59      0.00      0.00      9.36
02:30:44 PM     all     64.65      0.00     24.24      0.00      0.00     11.11
02:30:46 PM     all     68.16      0.00     27.86      0.00      0.00      3.98
02:30:48 PM     all     64.14      0.00     24.24      0.00      0.00     11.62
02:30:50 PM     all     62.00      0.00     29.50      0.00      0.00      8.50
02:30:52 PM     all     63.13      0.00     26.26      0.00      0.00     10.61
02:30:54 PM     all     65.17      0.00     25.37      0.00      0.00      9.45
02:30:56 PM     all     66.84      0.00     25.91      0.00      0.00      7.25
02:30:58 PM     all     60.80      0.00     29.15      0.00      0.00     10.05
02:31:00 PM     all     66.33      0.00     25.51      0.00      0.00      8.16
02:31:02 PM     all     64.14      0.00     30.81      0.00      0.00      5.05
02:31:04 PM     all     70.00      0.00     25.50      0.00      0.00      4.50
02:31:06 PM     all     60.80      0.00     27.64      0.00      0.00     11.56
02:31:08 PM     all     70.00      0.00     30.00      0.00      0.00      0.00
02:31:10 PM     all     68.69      0.00     27.78      0.00      0.00      3.54
02:31:12 PM     all     60.61      0.00     26.26      0.00      0.00     13.13
02:31:14 PM     all     66.33      0.00     27.14      0.00      0.00      6.53
02:31:16 PM     all     71.57      0.00     24.87      0.00      0.00      3.55
02:31:18 PM     all     69.85      0.00     29.15      0.00      0.00      1.01
02:31:20 PM     all     63.00      0.00     27.00      0.00      0.00     10.00
02:31:22 PM     all     63.50      0.00     27.00      0.00      0.00      9.50
02:31:24 PM     all     63.00      0.00     26.00      0.00      0.00     11.00
02:31:26 PM     all     66.15      0.00     25.64      0.00      0.00      8.21
02:31:28 PM     all     66.34      0.00     25.74      0.00      0.00      7.92
02:31:30 PM     all     70.15      0.00     26.87      0.00      0.00      2.99
02:31:32 PM     all     69.00      0.00     27.00      0.00      0.00      4.00
02:31:34 PM     all     66.50      0.00     24.50      0.00      0.00      9.00
02:31:36 PM     all     66.15      0.00     25.13      0.00      0.00      8.72
02:31:38 PM     all     66.49      0.00     24.74      0.00      0.00      8.76
02:31:40 PM     all     72.45      0.00     27.55      0.00      0.00      0.00
02:31:42 PM     all     68.34      0.00     25.63      0.00      0.00      6.03
02:31:44 PM     all     63.68      0.00     26.37      0.00      0.00      9.95
02:31:46 PM     all     62.83      0.00     25.65      0.00      0.00     11.52
02:31:48 PM     all     63.08      0.00     29.74      0.00      0.00      7.18
02:31:50 PM     all     67.84      0.00     25.63      0.00      0.00      6.53
02:31:52 PM     all     62.94      0.00     27.41      0.00      0.00      9.64
02:31:54 PM     all     66.33      0.00     26.02      0.00      0.00      7.65
02:31:56 PM     all     63.96      0.00     29.95      0.00      0.00      6.09
02:31:58 PM     all     67.34      0.00     28.14      0.00      0.00      4.52
02:32:00 PM     all     69.85      0.00     24.12      0.00      0.00      6.03
02:32:02 PM     all     70.15      0.00     27.86      0.00      0.00      1.99
02:32:04 PM     all     67.16      0.00     27.86      0.00      0.00      4.98
02:32:06 PM     all     66.15      0.00     20.51      0.00      0.00     13.33
02:32:08 PM     all     66.50      0.00     24.50      0.00      0.00      9.00
02:32:10 PM     all     61.19      0.00     27.86      0.00      0.00     10.95
02:32:12 PM     all     63.37      0.00     26.73      0.00      0.00      9.90
02:32:14 PM     all     64.32      0.00     30.15      0.00      0.00      5.53
02:32:16 PM     all     63.82      0.00     26.63      0.00      0.00      9.55
02:32:18 PM     all     65.48      0.00     26.90      0.00      0.00      7.61
02:32:20 PM     all     61.93      0.00     28.43      0.00      0.00      9.64
02:32:22 PM     all     64.10      0.00     25.64      0.00      0.00     10.26
02:32:24 PM     all     69.85      0.00     22.61      0.00      0.00      7.54
02:32:26 PM     all     67.50      0.00     25.50      0.00      0.00      7.00
02:32:28 PM     all     66.67      0.00     27.78      0.00      0.00      5.56
02:32:30 PM     all     67.66      0.00     26.87      0.00      0.00      5.47
02:32:32 PM     all     68.00      0.00     32.00      0.00      0.00      0.00
02:32:34 PM     all     67.51      0.00     28.93      0.00      0.00      3.55
02:32:36 PM     all     65.17      0.00     25.37      0.00      0.00      9.45
02:32:38 PM     all     60.80      0.00     29.15      0.00      0.00     10.05
02:32:40 PM     all     60.70      0.00     27.86      0.00      0.00     11.44
02:32:42 PM     all     62.89      0.00     26.29      0.00      0.00     10.82
02:32:44 PM     all     67.50      0.00     25.50      0.00      0.00      7.00
02:32:46 PM     all     64.14      0.00     26.77      0.00      0.00      9.09
02:32:48 PM     all     65.33      0.00     26.13      0.00      0.00      8.54
02:32:50 PM     all     70.50      0.00     24.50      0.00      0.00      5.00
02:32:52 PM     all     70.20      0.00     25.76      0.00      0.00      4.04
02:32:54 PM     all     66.67      0.00     29.85      0.00      0.00      3.48
02:32:56 PM     all     64.14      0.00     29.80      0.00      0.00      6.06
02:32:58 PM     all     64.14      0.00     27.78      0.00      0.00      8.08
02:33:00 PM     all     62.12      0.00     29.80      0.00      0.00      8.08
02:33:02 PM     all     63.18      0.00     30.35      0.00      0.00      6.47
02:33:04 PM     all     66.34      0.00     24.88      0.00      0.00      8.78
02:33:06 PM     all     62.56      0.00     28.21      0.00      0.00      9.23
02:33:08 PM     all     63.68      0.00     28.36      0.00      0.00      7.96
02:33:10 PM     all     68.00      0.00     25.50      0.00      0.00      6.50
02:33:12 PM     all     63.82      0.00     27.14      0.00      0.00      9.05
02:33:14 PM     all     65.99      0.00     24.37      0.00      0.00      9.64
02:33:16 PM     all     66.15      0.00     25.13      0.00      0.00      8.72
02:33:18 PM     all     67.01      0.00     23.35      0.00      0.00      9.64
02:33:20 PM     all     66.17      0.00     26.87      0.00      0.00      6.97
02:33:22 PM     all     64.97      0.00     24.37      0.00      0.00     10.66
02:33:24 PM     all     63.13      0.00     25.25      0.00      0.00     11.62
02:33:26 PM     all     62.31      0.00     29.15      0.00      0.00      8.54
02:33:28 PM     all     68.47      0.00     28.08      0.00      0.00      3.45
02:33:30 PM     all     64.68      0.00     28.86      0.00      0.00      6.47
02:33:32 PM     all     69.19      0.00     25.76      0.00      0.00      5.05
02:33:34 PM     all     62.89      0.00     25.77      0.00      0.00     11.34
02:33:36 PM     all     66.34      0.00     25.25      0.00      0.00      8.42
02:33:38 PM     all     66.17      0.00     24.38      0.00      0.00      9.45
02:33:40 PM     all     65.64      0.00     27.18      0.00      0.00      7.18
02:33:42 PM     all     65.15      0.00     22.73      0.00      0.00     12.12
02:33:44 PM     all     65.83      0.00     25.63      0.00      0.00      8.54
02:33:46 PM     all     64.14      0.00     25.76      0.00      0.00     10.10
02:33:48 PM     all     68.16      0.00     23.88      0.00      0.00      7.96
02:33:50 PM     all     62.05      0.00     22.56      0.00      0.00     15.38
02:33:52 PM     all     64.00      0.00     26.00      0.00      0.00     10.00
02:33:54 PM     all     61.39      0.00     23.76      0.00      0.00     14.85
02:33:56 PM     all     66.50      0.00     23.86      0.00      0.00      9.64
02:33:58 PM     all     64.80      0.00     29.59      0.00      0.00      5.61
02:34:00 PM     all     64.82      0.00     23.12      0.00      0.00     12.06
02:34:02 PM     all     64.00      0.00     27.50      0.00      0.00      8.50
02:34:04 PM     all     67.35      0.00     26.02      0.00      0.00      6.63
02:34:06 PM     all     64.50      0.00     25.50      0.00      0.00     10.00
02:34:08 PM     all     68.02      0.00     27.41      0.00      0.00      4.57
02:34:10 PM     all     62.81      0.00     32.16      0.00      0.00      5.03
02:34:12 PM     all     69.70      0.00     27.78      0.00      0.00      2.53
02:34:14 PM     all     69.00      0.00     31.00      0.00      0.00      0.00
02:34:16 PM     all     66.50      0.00     30.50      0.00      0.00      3.00
02:34:18 PM     all     69.00      0.00     31.00      0.00      0.00      0.00
02:34:20 PM     all     71.36      0.00     28.14      0.00      0.00      0.50
02:34:22 PM     all     64.29      0.00     28.06      0.00      0.00      7.65
02:34:24 PM     all     67.34      0.00     27.14      0.00      0.00      5.53
02:34:26 PM     all     62.44      0.00     29.95      0.00      0.00      7.61
02:34:28 PM     all     65.13      0.00     26.67      0.00      0.00      8.21
02:34:30 PM     all     66.00      0.00     28.00      0.00      0.00      6.00
02:34:32 PM     all     70.15      0.00     28.86      0.00      0.00      1.00
